LIS_CTR,LIS_MAT,LIS_GPO
1620182,79,A
1620109,79,A
1620111,79,A
1620198,79,A
1620250,79,A
1620100,79,A
1620165,79,A
1620082,79,A
1620098,79,A
1620218,79,A
1620245,79,A
1620208,79,A
1620197,79,A
1620213,79,A
1620101,79,A
1620095,79,A
1620176,79,A
1620081,79,A
1620075,79,A
1620178,79,A
1620093,79,A
1620182,1,A
1620109,1,A
1620111,1,A
1620198,1,A
1620250,1,A
1620100,1,A
1620165,1,A
1620082,1,A
1620098,1,A
1620218,1,A
1620245,1,A
1620208,1,A
1620197,1,A
1620213,1,A
1620101,1,A
1620095,1,A
1620176,1,A
1620081,1,A
1620075,1,A
1620178,1,A
1620093,1,A
1620182,81,A
1620109,81,A
1620111,81,A
1620198,81,A
1620250,81,A
1620100,81,A
1620165,81,A
1620082,81,A
1620098,81,A
1620218,81,A
1620245,81,A
1620208,81,A
1620197,81,A
1620213,81,A
1620101,81,A
1620095,81,A
1620176,81,A
1620081,81,A
1620075,81,A
1620178,81,A
1620093,81,A
1620182,57,A
1620109,57,A
1620111,57,A
1620198,57,A
1620250,57,A
1620100,57,A
1620165,57,A
1620082,57,A
1620098,57,A
1620218,57,A
1620245,57,A
1620208,57,A
1620197,57,A
1620213,57,A
1620101,57,A
1620095,57,A
1620176,57,A
1620081,57,A
1620075,57,A
1620178,57,A
1620093,57,A
1620182,80,A
1620109,80,A
1620111,80,A
1620198,80,A
1620250,80,A
1620100,80,A
1620165,80,A
1620082,80,A
1620098,80,A
1620218,80,A
1620245,80,A
1620208,80,A
1620197,80,A
1620213,80,A
1620101,80,A
1620095,80,A
1620176,80,A
1620081,80,A
1620075,80,A
1620178,80,A
1620093,80,A
1620182,30,A
1620109,30,A
1620111,30,A
1620198,30,A
1620250,30,A
1620100,30,A
1620165,30,A
1620082,30,A
1620098,30,A
1620218,30,A
1620245,30,A
1620208,30,A
1620197,30,A
1620213,30,A
1620101,30,A
1620095,30,A
1620176,30,A
1620081,30,A
1620075,30,A
1620178,30,A
1620093,30,A
1620169,79,B
1620199,79,B
1620091,79,B
1620092,79,B
1620187,79,B
1620099,79,B
1620090,79,B
1620079,79,B
1620106,79,B
1620103,79,B
1620104,79,B
1620151,79,B
1620139,79,B
1620083,79,B
1620105,79,B
1620189,79,B
1620177,79,B
1620163,79,B
1620087,79,B
1620089,79,B
1520144,79,B
1620085,79,B
1620078,79,B
1620097,79,B
1620084,79,B
1620074,79,B
1620080,79,B
1620201,79,B
1620169,1,B
1620199,1,B
1620011,1,B
1620091,1,B
1520039,1,B
1620092,1,B
1620187,1,B
1620099,1,B
1620090,1,B
1620079,1,B
1620106,1,B
1620103,1,B
1620104,1,B
1620151,1,B
1620139,1,B
1620083,1,B
1620105,1,B
1620189,1,B
1620177,1,B
1620087,1,B
1620089,1,B
1520144,1,B
1620085,1,B
1620078,1,B
1620097,1,B
1620084,1,B
1620074,1,B
1620080,1,B
1620201,1,B
1620169,81,B
1620199,81,B
1620091,81,B
1620092,81,B
1620187,81,B
1620099,81,B
1620090,81,B
1620079,81,B
1620106,81,B
1620103,81,B
1620104,81,B
1620151,81,B
1620139,81,B
1620083,81,B
1620185,81,B
1620105,81,B
1620189,81,B
1620177,81,B
1620163,81,B
1620087,81,B
1620089,81,B
1620085,81,B
1620078,81,B
1620097,81,B
1620084,81,B
1620074,81,B
1620080,81,B
1620201,81,B
1620169,57,B
1620199,57,B
1620011,57,B
1620091,57,B
1620092,57,B
1620187,57,B
1620099,57,B
1620090,57,B
1620079,57,B
1620106,57,B
1620103,57,B
1620104,57,B
1620151,57,B
1620139,57,B
1620083,57,B
1620105,57,B
1620189,57,B
1620177,57,B
1620163,57,B
1620087,57,B
1620089,57,B
1620085,57,B
1620078,57,B
1620097,57,B
1620084,57,B
1620074,57,B
1620080,57,B
1620201,57,B
1620169,80,B
1620199,80,B
1620011,80,B
1620091,80,B
1520039,80,B
1720002,80,B
1620092,80,B
1620187,80,B
1620099,80,B
1620090,80,B
1620079,80,B
1620106,80,B
1620103,80,B
1620104,80,B
1520092,80,B
1620151,80,B
1620139,80,B
1620083,80,B
1620185,80,B
1620105,80,B
1620189,80,B
1620177,80,B
1620163,80,B
1620087,80,B
1620089,80,B
1520144,80,B
1620085,80,B
1620078,80,B
1620097,80,B
1520180,80,B
1620084,80,B
1620074,80,B
1620080,80,B
1520183,80,B
1620201,80,B
1520187,80,B
1620169,30,B
1620199,30,B
1620011,30,B
1620091,30,B
1620092,30,B
1620187,30,B
1620099,30,B
1620090,30,B
1620079,30,B
1620106,30,B
1620103,30,B
1620104,30,B
1620151,30,B
1620139,30,B
1620083,30,B
1620105,30,B
1620189,30,B
1620177,30,B
1620163,30,B
1620087,30,B
1620089,30,B
1720003,30,B
1620085,30,B
1620078,30,B
1620097,30,B
1620084,30,B
1620074,30,B
1620080,30,B
1620201,30,B
1620193,93,C
1520021,93,C
1520037,93,C
13ISC159,93,C
1520045,93,C
1720002,93,C
14ISC101,93,C
1520064,93,C
14ISC097,93,C
1520078,93,C
1520087,93,C
14ISC157,93,C
1520101,93,C
1520111,93,C
13ISC170,93,C
1620185,93,C
1520128,93,C
14ISC100,93,C
1520141,93,C
14ISC084,93,C
1720003,93,C
1520195,93,C
1520165,93,C
14ISC074,93,C
1520183,93,C
13ISC203,93,C
1520200,93,C
1520021,90,C
1520037,90,C
1520039,90,C
1520045,90,C
1720002,90,C
1520064,90,C
1520078,90,C
1520087,90,C
1520092,90,C
1520101,90,C
1520111,90,C
1620185,90,C
1520128,90,C
1520141,90,C
1520195,90,C
1520165,90,C
1520180,90,C
1520183,90,C
1520187,90,C
1520200,90,C
1720004,91,C
1520021,91,C
1620011,91,C
1520037,91,C
1520039,91,C
1520045,91,C
1720002,91,C
1520064,91,C
1520078,91,C
1520087,91,C
1520092,91,C
1520101,91,C
1520111,91,C
1620185,91,C
1520128,91,C
1520141,91,C
1520144,91,C
1720003,91,C
1520195,91,C
1520165,91,C
1520180,91,C
1520183,91,C
1520187,91,C
1520200,91,C
1520021,92,C
1620011,92,C
1520037,92,C
1520039,92,C
1520045,92,C
1620255,92,C
1520064,92,C
1520078,92,C
1520087,92,C
1520092,92,C
1520101,92,C
1520111,92,C
1620185,92,C
1520128,92,C
1520141,92,C
1520144,92,C
1520195,92,C
1520165,92,C
1520180,92,C
1520183,92,C
1520187,92,C
1520200,92,C
14ISC075,88,C
1720004,88,C
1520021,88,C
1520037,88,C
1520039,88,C
1520045,88,C
1720002,88,C
1520064,88,C
14ISC103,88,C
1520078,88,C
1520087,88,C
1520092,88,C
1520101,88,C
1520111,88,C
1620185,88,C
1520128,88,C
14ISC100,88,C
1520141,88,C
1520144,88,C
1720003,88,C
1520195,88,C
1520165,88,C
1520180,88,C
14ISC074,88,C
1520183,88,C
1520187,88,C
1520200,88,C
14ISC075,89,C
1520021,89,C
1520037,89,C
1520045,89,C
1520064,89,C
14ISC097,89,C
14ISC103,89,C
1520087,89,C
1520101,89,C
1520141,89,C
1720003,89,C
1520195,89,C
1520165,89,C
1520187,89,C
1520200,89,C
13ISC186,86,D
1620193C,86,D
13ISC199,86,D
14ISC145,86,D
14ISC099,86,D
14ISC075,86,D
1720004,86,D
14ISC091,86,D
13ISC180,86,D
1620224,86,D
14ISC083,86,D
13ISC166,86,D
14ISC086,86,D
13ISC189,86,D
13ISC183,86,D
14ISC101,86,D
1620255,86,D
14ISC097,86,D
13ISC161,86,D
1620254C,86,D
14ISC103,86,D
14ISC195,86,D
14ISC077,86,D
14ISC137,86,D
14ISC174,86,D
14ISC139,86,D
14ISC157,86,D
14ISC092,86,D
13ISC157,86,D
14ISC085,86,D
14ISC193,86,D
14ISC084,86,D
14ISC155,86,D
14ISC080,86,D
13ISC187,86,D
14ISC102,86,D
11ISC388,86,D
13ISC203,86,D
14ISC145,87,D
14ISC099,87,D
14ISC091,87,D
13ISC162,87,D
14ISC083,87,D
1620222C,87,D
14ISC086,87,D
1720001,87,D
13ISC189,87,D
1620255,87,D
