RET_CVE,RET_NOM,RET_NCO
1,Cálculo Diferencial,Cálculo Diferencial
2,Fundamentos de Programación,Fundamentos de Programación
3,Taller de Ética,Taller de Ética
4,Matemáticas Discretas,Matemáticas Discretas
5,Taller de Administración,Taller de Administración
6,Fundamentos de Investigación,Fundamentos de Investigación
7,Cálculo Vectorial,Cálculo Vectorial
8,Estructura de Datos,Estructura de Datos
9,Cultura Empresarial,Cultura Empresarial
10,Investigación de Operaciones,Investigación de Operaciones
11,Desarrollo Sustentable,Desarrollo Sustentable
12,Física General,Física General
13,Graficación,Graficación
14,Fundamentos de Telecomunicaciones,Fundamentos de Telecomunicaciones
15,Sistemas Operativos,Sistemas Operativos
16,Taller de Base de Datos,Taller de Base de Datos
17,Fundamentos de Ingeniería de Software,Fundamentos de Ingeniería de Software
18,Arquitectura de Computadora,Arquitectura de Computadora
19,Lenguajes y Autómatas II,Lenguajes y Autómatas II
20,Conmutación y Enrutamiento en Redes de Datos,Conmutación y Enrutamiento en Redes de Datos
21,Gestión de Proyectos de Software,Gestión de Proyectos de Software
22,Sistemas Programables,Sistemas Programables
23,Programación Web,Programación Web
24,Modelado de Aplicaciones,Modelado de Aplicaciones
25,Tópico Selectos de Programación Móvil,Tópico Selectos de Programación Móvil
26,Fundamentos de Desarrollo Comunitario,Fundamentos de Desarrollo Comunitario
27,Sociología Rural,Sociología Rural
28,Biología,Biología
29,Álgebra Lineal,Álgebra Lineal
30,Bioquímica,Bioquímica
31,Microbiología,Microbiología
32,Socioeconomía y Politica de México,Socioeconomía y Politica de México
33,Fundamentos de Administración,Fundamentos de Administración
34,Física I,Física I
35,Estadística II,Estadística II
36,Cálculo Integral,Cálculo Integral
37,Politicas Públicas de Desarrollo Social,Politicas Públicas de Desarrollo Social
38,Taller de Planificación Regional,Taller de Planificación Regional
39,Análisis Económico,Análisis Económico
40,Sistemas de Información Geográfica,Sistemas de Información Geográfica
41,Introducción a la Producción Agropecuaria y Forestal,Introducción a la Producción Agropecuaria y Forestal
42,Ecología,Ecología
43,Biotecnología,Biotecnología
44,Planeación y Creación de Nuevas Empresas,Planeación y Creación de Nuevas Empresas
45,Formulación y Evaluación de Proyectos,Formulación y Evaluación de Proyectos
46,Evaluación Tecnológica,Evaluación Tecnológica
47,Taller de Investigación II,Taller de Investigación II
48,Dinámica Social,Dinámica Social
49,Taller de Administración I,Taller de Administración I
50,Contabilidad Aplicada a la Ingeniería,Contabilidad Aplicada a la Ingeniería
51,Tecnologías de la Información,Tecnologías de la Información
52,Matemáticas Financieras,Matemáticas Financieras
53,Estadística I,Estadística I
54,Comunicación Organizacional,Comunicación Organizacional
55,Mercadotécnia,Mercadotécnia
56,Derecho Laboral,Derecho Laboral
57,Macroeconomía,Macroeconomía
58,Investigación de Mercados,Investigación de Mercados
59,Innovacción Tecnológica I,Innovacción Tecnológica I
60,Administración Financiera II,Administración Financiera II
61,Capital Humano II,Capital Humano II
62,Derecho Fiscal,Derecho Fiscal
63,Mercadotécnia Electrónica,Mercadotécnia Electrónica
64,Diseño Organizacional,Diseño Organizacional
65,"Responsabilidad ambiental, Económica y Social para proyectos de Inversión","Responsabilidad ambiental, Económica y Social para proyectos de Inversión"
66,Desarrollo de Productos y Servicios,Desarrollo de Productos y Servicios
67,Análisis Económico Financiero,Análisis Económico Financiero
68,Plan de Negocios,Plan de Negocios
69,Introducción a la Gastronomía,Introducción a la Gastronomía
70,Matemáticas para Gastronomía,Matemáticas para Gastronomía
71,Microbiología de los Alimentos,Microbiología de los Alimentos
72,Física en Gastronomía,Física en Gastronomía
73,Software de Aplicación Ejecutivo,Software de Aplicación Ejecutivo
74,Gestión del Capital Humano,Gestión del Capital Humano
75,Probabilidad y Estadística,Probabilidad y Estadística
76,Costo y Manejo de Almacenes,Costo y Manejo de Almacenes
77,Fundamentos de Turismo,Fundamentos de Turismo
78,Química y Conservación de los Alimentos,Química y Conservación de los Alimentos
79,Cocina Mexicana,Cocina Mexicana
80,Calidad Aplicada a la Gestión Empresarial,Calidad Aplicada a la Gestión Empresarial
81,Marco Legal de las Organizaciones,Marco Legal de las Organizaciones
82,Nutrición y Dietética,Nutrición y Dietética
83,Coctelería,Coctelería
84,Introducción a la Repostería,Introducción a la Repostería
85,Mercadotécnia,Mercadotécnia
86,Cultura Gastronómica III,Cultura Gastronómica III
87,Cocina Internacional II,Cocina Internacional II
88,Investigación de Operaciones,Investigación de Operaciones
89,Banquetes,Banquetes
90,Introducción a la Ingeniería en Logística,Introducción a la Ingeniería en Logística
91,Economía,Economía
92,Compras,Compras
93,Entorno Económico,Entorno Económico
94,Mecánica Clásica,Mecánica Clásica
