GPO_MAT,GPO_GPO,GPO_CAT,GPO_NUM,GPO_LHR,GPO_AUL
3,I,35,9,0,0
48,I,1113,9,0,0
49,I,8,9,0,0
50,I,45,9,0,0
51,I,9,9,0,0
5,I,4,9,0,0
28,J,9,10,0,0
52,J,27,10,0,0
53,J,9,10,0,0
54,J,7,10,0,0
55,J,56,10,0,0
56,J,8,10,0,0
28,K,35,11,0,0
52,K,1117,11,0,0
53,K,9,11,0,0
54,K,7,11,0,0
55,K,56,11,0,0
56,K,8,11,0,0
57,L,45,12,0,0
58,L,56,12,0,0
59,L,2,12,0,0
60,L,4,12,0,0
61,L,2,12,0,0
62,L,8,12,0,0
63,L,62,12,0,0
70,M,2,13,0,0
64,M,4,13,0,0
65,M,7,13,0,0
66,M,6,13,0,0
67,M,2,13,0,0
68,M,4,13,0,0
69,M,45,13,0,0
26,N,13,14,0,0
1,N,13,14,0,0
27,N,60,14,0,0
28,N,14,14,0,0
5,N,15,14,0,0
29,N,15,14,0,0
26,Ñ,13,15,0,0
1,Ñ,13,15,0,0
27,Ñ,60,15,0,0
28,Ñ,14,15,0,0
5,Ñ,15,15,0,0
29,Ñ,15,15,0,0
30,O,13,16,0,0
31,O,40,16,0,0
32,O,60,16,0,0
33,O,14,16,0,0
34,O,20,16,0,0
35,O,16,16,0,0
36,O,21,16,0,0
37,P,1120,17,0,0
10,P,1121,17,0,0
38,P,60,17,0,0
39,P,14,17,0,0
40,P,15,17,0,0
41,P,20,17,0,0
42,P,28,17,0,0
43,Q,13,18,0,0
44,Q,1120,18,0,0
45,Q,15,18,0,0
46,Q,16,18,0,0
47,Q,37,18,0,0
1,R,6,19,0,0
2,R,23,19,0,0
3,R,21,19,0,0
4,R,55,19,0,0
5,R,27,19,0,0
6,R,22,19,0,0
7,S,22,20,0,0
8,S,21,20,0,0
9,S,23,20,0,0
10,S,6,20,0,0
11,S,55,20,0,0
12,S,25,20,0,0
13,T,25,21,0,0
14,T,26,21,0,0
15,T,23,21,0,0
16,T,26,21,0,0
17,T,22,21,0,0
18,T,10,21,0,0
19,U,1117,22,0,0
20,U,55,22,0,0
21,U,26,22,0,0
22,U,22,22,0,0
23,U,23,22,0,0
24,U,25,22,0,0
25,U,10,22,0,0
92,V,49,23,0,0
93,V,16,23,0,0
94,V,34,23,0,0
95,V,7,23,0,0
96,V,28,23,0,0
97,V,21,23,0,0
98,V,25,23,0,0
99,W,46,24,0,0
28,W,14,24,0,0
77,W,34,24,0,0
100,W,45,24,0,0
101,W,16,24,0,0
55,W,49,24,0,0
102,W,6,24,0,0
103,X,49,25,0,0
3,X,14,25,0,0
1,X,46,25,0,0
31,X,7,25,0,0
5,X,49,25,0,0
104,X,40,25,0,0
5,A,15,1,0,0
71,A,24,1,0,0
72,A,34,1,0,0
73,A,37,1,0,0
74,A,35,1,0,0
75,A,59,1,0,0
71,B,43,2,0,0
5,B,13,2,0,0
74,B,35,2,0,0
72,B,34,2,0,0
75,B,59,2,0,0
73,B,52,2,0,0
76,C,50,3,0,0
77,C,27,3,0,0
78,C,52,3,0,0
79,C,56,3,0,0
80,C,37,3,0,0
81,C,24,3,0,0
78,D,54,4,0,0
79,D,56,4,0,0
76,D,50,4,0,0
77,D,34,4,0,0
80,D,52,4,0,0
81,D,24,4,0,0
82,E,28,5,0,0
83,E,50,5,0,0
9,E,52,5,0,0
84,E,37,5,0,0
85,E,24,5,0,0
86,E,19,5,0,0
9,F,62,6,0,0
83,F,50,6,0,0
82,F,28,6,0,0
84,F,34,6,0,0
85,F,17,6,0,0
86,F,19,6,0,0
87,G,43,7,0,0
43,G,50,7,0,0
88,G,53,7,0,0
89,G,53,7,0,0
90,G,43,7,0,0
91,G,19,7,0,0
87,H,54,8,0,0
43,H,27,8,0,0
88,H,54,8,0,0
89,H,43,8,0,0
90,H,19,8,0,0
91,H,53,8,0,0
