"tipo(A:lumnos, P:osgrado, I:ntegracion, V:erano)",rubro(de la tabla:PreguntasRubros),numero,texto,a,b,c,d,e
A,A,1,Explica de manera clara los contenidos de la asignatura.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,A,2,Relaciona los contenidos de la asignatura con los contenidos de otras.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,A,3,Resuelve las dudas relacionadas con los contenidos de la asignatura.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,A,4,Propone ejemplos o ejercicios que vinculan la asignatura con la práctica profesional.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,A,5,Explica la utilidad de los contenidos teóricos y prácticos para la actividad profesional.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,B,6,Cumple con los acuerdos establecidos al inicio de la asignatura.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,B,7,Durante el curso establece las estrategias adecuadas necesarias para lograr el aprendizaje deseado.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,B,8,El programa presentado al principio de la asignatura se cubre totalmente.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,C,9,"Incluye experiencias de aprendizaje en lugares diferentes al aula (talleres, laboratorios, empresas, comunidad, etc.).",Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,C,10,"Utiliza para el aprendizaje las herramentas de interacción de las tecnologías actuales de la información (correo electrónico, chats, plataformas, etc.).",Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,C,11,Organiza actividades que me permiten ejercitar mi expresión oral y escrita.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,C,12,"Relaciona los contenidos de la asignatura con la industria y la sociedad a nivel local, regional. nacional e internacional.",Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,C,13,Usa ejemplos y casos relacionados con la vida real.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,D,14,Adapta las actividades para atender los diferentes estilos de aprendizaje de los estudiantes.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,D,15,Promueve el autodidactismo y la investigación.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,D,16,Promueve actividades participativas que me permiten colaborar con mis compañeros con una actividad positiva.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
A,D,17,Estimula la reflexión sobre la manera en que aprendes.,Totalmente de Acuerdo,de Acuerdo,Indeciso,en Desacuerdo,Totalmente en Desacuerdo
